news_id,ticker,title,sapo,publish_time,Target_Date,open,high,low,close,volume
304,VIC,"Phiên 4/1: HAG tạo đáy mới, khối ngoại “xả” VIC trong ngày đầu năm mới","Trong ngày đầu năm mới, khối ngoại đã mua ròng tổng cộng hơn 2 triệu cổ phiếu trên toàn thị trường. Tuy vậy, xét về giá trị thì đây là phiên bán ròng nhẹ với khoảng 60 triệu đồng và phần lớn tập trung tại VIC.",2016-01-04 16:38:00,2016-01-05,12.69,12.88,12.63,12.82,2480100.0
809,HAG,"HAG về dưới mệnh giá, VnIndex mất mốc 570 điểm","Thanh khoản trên thị trường tiếp tục ở mức thấp. Tổng giá giá trị giao dịch trên thị trường chỉ đạt khoảng 2.000 tỷ đồng, trong đó, giao dịch thỏa thuận là gần 200 tỷ đồng.",2016-01-05 16:10:00,2016-01-06,9.7,10.2,9.6,10.0,6607690.0
808,HAG,Khối lượng đặt mua HAG tăng vọt từ khi phục hồi,"Kết thúc phiên giao dịch hôm nay, HAG đạt 10.900 đồng/cổ phiếu- tăng trần- dư mua trần hơn 280 nghìn đơn vị.",2016-01-11 17:35:00,2016-01-12,10.9,11.4,10.9,11.3,8942460.0
303,VIC,"Phiên 11/1: Khối ngoại “xả hàng”, VIC vẫn tiếp tục tăng điểm","Giao dịch khối ngoại trong phiên giao dịch hôm nay không thực sự sôi động, họ vẫn tiếp tục mua ròng trên HNX và bán ròng trên HSX. Tính chung, khối ngoại có phiên bán ròng nhẹ với giá trị 390 triệu đồng.",2016-01-11 16:53:00,2016-01-12,13.04,13.06,12.85,12.96,1030900.0
302,VIC,"Phiên 13/1: Khối ngoại mua ròng MSN, tiếp tục “xả hàng” VIC",Khối ngoại có phiên bán ròng trên cả 2 sàn giao dịch với giá trị 83 tỷ đồng. Việc khối ngoại vẫn chưa trở lại mua ròng vẫn đang là rào cản cho sự hồi phục của thị trường.,2016-01-13 17:24:00,2016-01-14,12.74,13.01,12.74,12.96,2616100.0
807,HAG,HAG lại xuyên thủng đáy cũ: Lòng tham bị trả giá đắt?,"Cổ phiếu HAG đã liên tiếp giảm 3 phiên vừa qua, về 9.900 đồng chốt phiên giao dịch ngày 15/1. Đến phiên sáng nay, cổ phiếu này đã có lúc giao dịch ở mức giá sàn 9.300 đồng-phá vỡ đáy cũ.",2016-01-18 09:34:00,2016-01-18,9.6,9.7,9.3,9.3,8483270.0
301,VIC,"VIC, MSN hồi phục cuối phiên, VnIndex đóng cửa giảm gần 17 điểm","Như vậy, sau khi chạm vùng 520 điểm, chỉ số VnIndex đã tạm bật tăng trở lại ngay trong phiên giao dịch dù rằng mức phục hồi là không quá mạnh.",2016-01-18 15:05:00,2016-01-19,12.74,12.98,12.74,12.82,736420.0
806,HAG,"HAG “phá đáy”, VnIndex thủng mốc 530 điểm","Sau những nỗ lực hồi phục bất thành trong phiên sáng, áp lực bán đã được đẩy mạnh trong phiên giao dịch buổi chiều, đặc biệt tại các Bluechips như VNM, HAG, BVH, GAS, HSG….",2016-01-20 15:12:00,2016-01-21,8.9,8.9,8.4,8.4,12664870.0
805,HAG,"HAG giảm sàn, VnIndex mất tiếp gần 8 điểm","HAG hôm nay giảm sàn và cuối phiên có dư bán sàn 417 nghìn cổ phiếu, khối lượng khớp lệnh đạt 12,66 triệu đơn vị.",2016-01-21 15:29:00,2016-01-22,8.1,8.4,7.9,7.9,19081830.0
804,HAG,"HAG chỉ còn 7.900 đồng/cổ phiếu, đã mua được chưa?",Đã nên mua HAG hay chưa khi mà lần bắt đáy nào cũng khiến nhà đầu tư thua lỗ nặng?,2016-01-22 08:00:00,2016-01-22,8.1,8.4,7.9,7.9,19081830.0
