time,open,high,low,close,volume,ticker
2016-01-04 07:00:00,12.34,12.82,12.2,12.82,4809120,VIC
2016-01-05 07:00:00,12.69,12.88,12.63,12.82,2480100,VIC
2016-01-06 07:00:00,12.79,12.93,12.6,12.82,1976280,VIC
2016-01-07 07:00:00,12.63,13.01,12.55,12.96,2852010,VIC
2016-01-08 07:00:00,12.82,12.96,12.69,12.96,1641950,VIC
2016-01-11 07:00:00,12.96,13.25,12.85,13.04,1591300,VIC
2016-01-12 07:00:00,13.04,13.06,12.85,12.96,1030900,VIC
2016-01-13 07:00:00,12.96,12.96,12.74,12.93,2003030,VIC
2016-01-14 07:00:00,12.74,13.01,12.74,12.96,2616100,VIC
2016-01-15 07:00:00,12.98,12.98,12.79,12.82,931360,VIC
2016-01-18 07:00:00,12.63,12.85,12.15,12.82,2516720,VIC
2016-01-19 07:00:00,12.74,12.98,12.74,12.82,736420,VIC
2016-01-20 07:00:00,12.71,12.96,12.71,12.79,1569270,VIC
2016-01-21 07:00:00,12.88,12.96,12.77,12.9,2201170,VIC
2016-01-22 07:00:00,12.9,13.25,12.9,13.04,1432160,VIC
2016-01-25 07:00:00,13.09,13.09,12.96,13.04,1960040,VIC
2016-01-26 07:00:00,12.96,13.06,12.77,12.96,1779070,VIC
2016-01-27 07:00:00,12.79,12.85,12.66,12.82,3440360,VIC
2016-01-28 07:00:00,12.69,13.04,12.69,13.04,4244530,VIC
2016-01-29 07:00:00,12.96,13.01,12.74,12.85,2231860,VIC
2016-02-01 07:00:00,12.74,12.93,12.69,12.69,1133280,VIC
2016-02-02 07:00:00,12.63,12.74,12.6,12.69,1017260,VIC
2016-02-03 07:00:00,12.6,12.69,12.42,12.69,1102250,VIC
2016-02-04 07:00:00,12.69,12.82,12.69,12.69,404050,VIC
2016-02-05 07:00:00,12.52,12.69,12.52,12.58,895260,VIC
2016-02-15 07:00:00,12.55,12.58,12.28,12.28,685060,VIC
2016-02-16 07:00:00,12.47,12.47,12.28,12.31,392060,VIC
2016-02-17 07:00:00,12.5,12.5,12.28,12.28,259490,VIC
2016-02-18 07:00:00,12.42,12.47,12.34,12.42,595150,VIC
2016-02-19 07:00:00,12.39,12.39,11.96,12.17,1393710,VIC
2016-02-22 07:00:00,12.17,12.2,12.04,12.2,724960,VIC
2016-02-23 07:00:00,12.2,12.5,12.2,12.31,418590,VIC
2016-02-24 07:00:00,12.25,12.39,12.17,12.25,534860,VIC
2016-02-25 07:00:00,12.28,12.39,12.25,12.28,528840,VIC
2016-02-26 07:00:00,12.31,12.36,12.06,12.15,1235270,VIC
2016-02-29 07:00:00,12.15,12.15,11.9,11.9,259290,VIC
2016-03-01 07:00:00,11.93,12.04,11.77,11.9,956870,VIC
2016-03-02 07:00:00,11.98,12.17,11.93,12.15,560340,VIC
2016-03-03 07:00:00,12.2,12.28,12.15,12.25,491450,VIC
2016-03-04 07:00:00,12.25,12.42,12.2,12.36,802550,VIC
2016-03-07 07:00:00,12.36,12.55,12.28,12.36,557500,VIC
2016-03-08 07:00:00,12.31,12.52,12.31,12.52,1079780,VIC
2016-03-09 07:00:00,12.55,12.66,12.55,12.55,1123530,VIC
2016-03-10 07:00:00,12.55,12.63,12.52,12.55,575310,VIC
2016-03-11 07:00:00,12.55,12.55,12.25,12.25,560370,VIC
2016-03-14 07:00:00,12.2,12.28,12.15,12.25,346630,VIC
2016-03-15 07:00:00,12.25,12.42,12.09,12.15,1073480,VIC
2016-03-16 07:00:00,12.06,12.12,12.04,12.04,434350,VIC
2016-03-17 07:00:00,12.2,12.23,12.12,12.15,488110,VIC
2016-03-18 07:00:00,12.15,12.17,11.9,11.9,5451040,VIC
2016-03-21 07:00:00,12.06,12.31,12.06,12.2,1039980,VIC
2016-03-22 07:00:00,12.2,12.31,12.12,12.28,657090,VIC
2016-03-23 07:00:00,12.15,12.31,12.04,12.25,1615870,VIC
2016-03-24 07:00:00,12.25,12.28,12.15,12.17,510060,VIC
2016-03-25 07:00:00,12.15,12.42,12.15,12.36,1257200,VIC
2016-03-28 07:00:00,12.44,12.63,12.39,12.6,820660,VIC
2016-03-29 07:00:00,12.69,12.79,12.58,12.63,1482760,VIC
2016-03-30 07:00:00,12.39,12.69,12.39,12.69,650730,VIC
2016-03-31 07:00:00,12.52,12.85,12.52,12.74,1398070,VIC
2016-04-01 07:00:00,12.74,12.79,12.63,12.74,548420,VIC
2016-04-04 07:00:00,12.77,12.77,12.63,12.71,351710,VIC
2016-04-05 07:00:00,12.71,12.77,12.55,12.71,323780,VIC
2016-04-06 07:00:00,12.71,12.85,12.66,12.85,547050,VIC
2016-04-07 07:00:00,12.85,12.88,12.71,12.74,289730,VIC
2016-04-08 07:00:00,12.74,12.85,12.66,12.82,600280,VIC
2016-04-11 07:00:00,12.82,13.63,12.82,13.63,1288260,VIC
2016-04-12 07:00:00,14.04,14.17,13.77,14.04,1157120,VIC
2016-04-13 07:00:00,13.9,14.3,13.63,14.04,807840,VIC
2016-04-14 07:00:00,14.04,14.71,13.9,14.17,1075850,VIC
